image_name,target_len,prediction_len,length_ratio,token_edit_distance,normalized_token_edit_distance,char_edit_distance,exact_match_bool,graph_em_ok,graph_structure_ok,chemfig_count,arrow_count,branch_count,ring_anchor_count,angle_bond_count,max_brace_depth,max_paren_depth,structure_score
valid_00409.jpg,63,63,1.0,15.0,0.2941176470588235,50.0,False,False,False,1,0,12,4,18,2,2,171
valid_00410.jpg,65,65,1.0,8.0,0.1509433962264151,4.0,False,True,True,1,0,12,4,16,2,5,169
valid_00411.jpg,71,71,1.0,26.0,0.4727272727272727,126.0,False,False,False,1,0,16,4,18,2,5,191
valid_00412.jpg,45,45,1.0,4.0,0.1142857142857142,2.0,False,True,True,1,0,10,2,15,1,3,127
valid_00413.jpg,59,63,1.0677966101694916,24.0,0.4897959183673469,86.0,False,False,False,1,0,10,2,15,2,5,149
valid_00414.jpg,61,61,1.0,8.0,0.1632653061224489,4.0,False,True,True,1,0,12,4,15,2,4,163
valid_00415.jpg,42,46,1.0952380952380953,19.0,0.5588235294117647,66.0,False,False,False,1,0,8,4,13,1,1,120
valid_00416.jpg,62,62,1.0,18.0,0.36,103.0,False,False,False,1,0,12,4,18,2,2,170
valid_00417.jpg,40,40,1.0,8.0,0.2352941176470588,12.0,False,False,False,1,0,6,2,14,2,2,116
valid_00418.jpg,67,67,1.0,10.0,0.1694915254237288,24.0,False,False,False,1,0,8,2,18,3,2,165
valid_00419.jpg,67,67,1.0,8.0,0.1403508771929824,4.0,False,True,True,1,0,10,4,18,2,3,169
valid_00420.jpg,61,61,1.0,8.0,0.1702127659574468,4.0,False,True,True,1,0,14,4,17,1,4,165
valid_00421.jpg,43,43,1.0,5.0,0.1351351351351351,4.0,False,False,False,1,0,6,2,17,2,3,125
valid_00422.jpg,46,42,0.9130434782608695,15.0,0.4166666666666667,55.0,False,False,False,1,0,10,4,16,1,4,136
valid_00423.jpg,140,126,0.9,64.0,0.5818181818181818,280.0,False,False,False,1,0,30,8,41,2,11,360
valid_00424.jpg,117,122,1.0427350427350428,53.0,0.5955056179775281,237.0,False,False,False,1,0,28,10,37,1,8,321
valid_00425.jpg,133,94,0.706766917293233,51.0,0.504950495049505,289.0,False,False,False,1,0,32,14,41,1,5,369
valid_00426.jpg,127,125,0.984251968503937,41.0,0.4141414141414141,81.0,False,False,False,1,0,28,8,46,1,5,343
valid_00427.jpg,148,107,0.722972972972973,45.0,0.3813559322033898,206.0,False,False,False,1,0,30,8,43,2,5,372
valid_00428.jpg,138,134,0.9710144927536232,53.0,0.4907407407407407,197.0,False,False,False,1,0,30,12,41,2,6,370
valid_00429.jpg,125,117,0.936,23.0,0.2323232323232323,52.0,False,False,False,1,0,26,8,41,2,7,333
valid_00430.jpg,125,125,1.0,27.0,0.2783505154639175,46.0,False,False,False,1,0,28,10,38,2,5,339
valid_00431.jpg,147,139,0.9455782312925171,60.0,0.5217391304347826,138.0,False,False,False,1,0,32,8,44,2,8,379
valid_00432.jpg,141,133,0.9432624113475178,64.0,0.5981308411214953,276.0,False,False,False,1,0,34,8,41,2,9,373
valid_00433.jpg,129,120,0.9302325581395349,55.0,0.5555555555555556,272.0,False,False,False,1,0,30,8,42,2,4,351
valid_00434.jpg,121,129,1.0661157024793388,77.0,0.7938144329896907,333.0,False,False,False,1,0,24,8,39,2,5,319
valid_00435.jpg,93,78,0.8387096774193549,33.0,0.4074074074074074,148.0,False,False,False,1,0,12,2,48,2,4,255
valid_00436.jpg,139,139,1.0,30.0,0.2752293577981651,114.0,False,False,False,1,0,30,8,38,2,5,353
valid_00437.jpg,133,138,1.037593984962406,65.0,0.6310679611650486,271.0,False,False,False,1,0,30,12,42,1,6,359
valid_00438.jpg,119,97,0.8151260504201681,61.0,0.6703296703296703,253.0,False,False,False,1,0,28,10,39,1,6,327
valid_00439.jpg,125,129,1.032,37.0,0.3894736842105263,141.0,False,False,False,1,0,30,12,39,1,8,345
valid_00440.jpg,148,139,0.9391891891891891,48.0,0.4,163.0,False,False,False,1,0,28,2,39,2,6,340
valid_00441.jpg,132,130,0.9848484848484849,54.0,0.5294117647058824,211.0,False,False,False,1,0,30,10,40,2,10,356
valid_00442.jpg,128,125,0.9765625,61.0,0.61,264.0,False,False,False,1,0,28,8,38,2,4,336
valid_00443.jpg,151,134,0.8874172185430463,43.0,0.3739130434782609,122.0,False,False,False,1,0,36,10,42,2,8,397
valid_00444.jpg,148,140,0.9459459459459459,52.0,0.4482758620689655,187.0,False,False,False,1,0,32,8,39,2,7,370
